# scenario	url	round	wall_ms	out_chars	tier	peak_rss_kb
chrome	https://react.dev/	2	3019	7534	-	2113920
tier1	https://vuejs.org/	2	283	2856	http	
tier2	https://vuejs.org/	2	2144	1958	browser	
auto	https://vuejs.org/	2	268	2856	http	
chrome	https://vuejs.org/	2	5677	1976	-	2329584
tier1	https://tailwindcss.com/	2	907	19485	http	
tier2	https://tailwindcss.com/	2	3547	7564	browser	
auto	https://tailwindcss.com/	2	855	19485	http	
chrome	https://tailwindcss.com/	2	6281	7306	-	2343792
tier1	https://nextjs.org/	2	398	44056	http	
tier2	https://nextjs.org/	2	2034	6884	browser	
auto	https://nextjs.org/	2	406	44056	http	
chrome	https://nextjs.org/	2	4131	6902	-	2266720
tier1	https://vitejs.dev/	2	647	10194	http	
tier2	https://vitejs.dev/	2	1523	3697	browser	
auto	https://vitejs.dev/	2	601	10194	http	
chrome	https://vitejs.dev/	2	90004	0	-	2276368
tier1	https://bun.sh/	2	623	29368	http	
tier2	https://bun.sh/	2	3478	0	browser	
auto	https://bun.sh/	2	592	29368	http	
chrome	https://bun.sh/	2	5258	18365	-	2137440
tier1	https://www.typescriptlang.org/	2	322	10533	http	
tier2	https://www.typescriptlang.org/	2	1160	4804	browser	
auto	https://www.typescriptlang.org/	2	190	10533	http	
chrome	https://www.typescriptlang.org/	2	3400	5020	-	2236080
tier1	https://www.sqlite.org/docs.html	2	982	20624	http	
tier2	https://www.sqlite.org/docs.html	2	2357	16960	browser	
auto	https://www.sqlite.org/docs.html	2	981	20624	http	
chrome	https://www.sqlite.org/docs.html	2	3492	17268	-	2105984
tier1	https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API	2	2066	5565	browser	
tier2	https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API	2	1846	5565	browser	
auto	https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API	2	1829	5565	browser	
chrome	https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API	2	4045	5088	-	2197520
tier1	https://docs.rs/serde/latest/serde/	2	174	7908	http	
tier2	https://docs.rs/serde/latest/serde/	2	868	4698	browser	
auto	https://docs.rs/serde/latest/serde/	2	212	7908	http	
chrome	https://docs.rs/serde/latest/serde/	2	2814	4592	-	2156512
tier1	https://crates.io/	2	2211	0	browser	
tier2	https://crates.io/	2	1471	0	browser	
auto	https://crates.io/	2	1591	0	browser	
chrome	https://crates.io/	2	3535	5664	-	2146864
tier1	https://arxiv.org/abs/1706.03762	2	609	9681	http	
tier2	https://arxiv.org/abs/1706.03762	2	1995	4835	browser	
auto	https://arxiv.org/abs/1706.03762	2	267	9681	http	
chrome	https://arxiv.org/abs/1706.03762	2	3065	4678	-	2089120
tier1	https://juejin.cn/	2	210	1020	http	
tier2	https://juejin.cn/	2	1138	385	browser	
auto	https://juejin.cn/	2	206	1020	http	
chrome	https://juejin.cn/	2	3840	3475	-	2145328
# server_peak_rss_kb	232928
